Customer_ID,account_age_months,avg_order_value,total_orders,days_since_last_purchase,discount_usage_rate,return_rate,customer_support_tickets,loyalty_member,browsing_frequency_per_week,cart_abandonment_rate,product_review_score_avg,engagement_score,satisfaction_score,price_sensitivity_index,churned,order_value_density,inactivity_ratio,support_friction_index
c4053e40-3e23-42bd-a066-c80e946e918c,33.0,77.63,17.0,85.0,0.235,0.0008,1.0,Yes,2.9,0.599,3.16,2.28,7.49,4.2,Yes,4.312777777777778,2.5,0.599
616bb2c7-7e82-46c9-8e10-bed9fe444a45,48.0,98.26,25.0,20.0,0.133,0.1912,1.0,No,1.1,0.708,4.86,5.2,8.56,3.3,No,3.7792307692307694,0.40816326530612246,0.708
c5c52516-e767-4034-b180-a2e12b6733f8,26.0,171.12,7.0,5.0,0.277,0.0536,2.0,No,4.2,0.646,4.53,6.38,8.02,3.9,No,21.39,0.18518518518518517,1.292
f7b88739-6e00-40c5-84b9-d664cd030351,20.0,52.05,1.0,22.0,0.146,0.1399999999999999,1.0,No,2.6,0.37,4.11,4.8,7.98,3.7,No,26.025,1.0476190476190477,0.37
a0838aad-4bc1-457c-b7be-036c39b887a2,15.0,111.27,4.0,33.0,0.19,0.12,1.0,No,3.0,0.324,4.94,4.48,8.87,3.7,No,22.253999999999998,2.0625,0.324
9a2bc455-d0f2-454a-ae39-50550d448fc8,33.0,185.52249999999998,1.0,45.0,0.397,0.0632,0.0,No,3.9,0.5,4.49,4.08,9.28,4.5,No,92.76124999999999,1.3235294117647058,0.0
ca255891-17d6-45d2-900d-60589868c504,17.0,74.25,1.0,76.0,0.41,0.0496,2.0,No,0.3,0.809,3.42,1.33,6.92,5.4,Yes,37.125,4.222222222222222,1.618
a49ed04a-0b43-44a5-8f1b-11db61b11f2a,5.0,106.94,1.0,89.0,0.2526,0.0104,1.0,No,3.4,0.759,4.12,1.47,8.42,5.2,Yes,53.47,14.833333333333334,0.759
1b68917a-971e-4978-b60e-46ed6d97f12a,50.0,81.62,26.0,15.0,0.307,0.1152,3.0,No,4.6,0.692,3.43,6.65,6.05,4.7,No,3.0229629629629633,0.29411764705882354,2.0759999999999996
d87b7c7b-7f52-4aae-b224-286f333c0940,56.0,58.56,15.0,8.0,0.396,0.0296,0.0,Yes,4.3,0.667,4.65,6.53,9.55,5.4,No,3.66,0.14035087719298245,0.0
94113089-13e1-4d04-a2c7-4f58ac0773ad,4.0,185.52249999999998,2.0,8.0,0.23679999999999998,0.032,0.0,No,3.1,0.493,3.16,5.7,8.05,2.7,No,61.84083333333333,1.6,0.0
3d06369f-98e5-4801-87f1-77fb939b9531,3.0,38.33,1.0,31.0,0.3002,0.0736,0.0,No,6.2,0.668,3.98,5.55,8.73,5.2,No,19.165,7.75,0.0
99730612-4573-4faf-a922-6b9a90daf6ba,40.0,185.52249999999998,31.0,5.0,0.267,0.0928,0.0,No,1.3,0.136,4.56,6.22,9.25,3.0,No,5.797578124999999,0.12195121951219512,0.0
a3f58f32-cb3a-4475-aa5d-c37a5811a6ef,3.0,45.29,1.0,28.0,0.22600000000000003,0.1048,3.0,No,3.7,0.536,4.47,5.1,7.12,3.8,No,22.645,7.0,1.608
11d47829-90b5-43b4-8404-7edc39ff22ee,21.0,26.16,16.0,1.0,0.151,0.0384,1.0,No,3.1,0.214,4.58,6.52,8.79,3.9,No,1.5388235294117647,0.045454545454545456,0.214
791f7c4d-197e-46b3-ad0e-55967242eb36,48.0,110.45,13.0,3.0,0.437,0.0624,0.0,No,5.5,0.533,4.27,7.12,9.06,5.4,No,7.889285714285714,0.061224489795918366,0.0
b8578935-0c06-4128-b4e8-01ff3c23b4ea,57.0,74.55,15.0,49.0,0.072,0.0088,0.0,Yes,4.7,0.628,5.0,4.62,9.97,3.1,No,4.659375,0.8448275862068966,0.0
03318e8e-0a66-40ce-bd30-664cc9fa913a,49.0,113.09,1.0,58.0,0.3684,0.0208,0.0,No,4.0,0.81,4.89,5.1,9.82,3.3,No,56.545,1.16,0.0
5abd051d-92d7-4bb7-9073-7fdaca60bebd,8.0,59.46,1.0,41.0,0.15,0.1656,2.0,No,4.8,0.656,3.55,4.58,6.66,3.7,No,29.73,4.555555555555555,1.312
54a4f46e-1f13-4be6-9498-51020d5ec0d2,42.0,44.75,11.0,28.0,0.132,0.0808,3.0,No,2.7,0.589,3.63,4.87,6.36,3.7,No,3.7291666666666665,0.6511627906976745,1.767
cbdccb6d-88fb-4be3-90ec-f7ce21975f6d,36.0,28.16,10.0,8.0,0.063,0.0064,0.0,No,3.0,0.833,4.32,5.93,9.3,3.3,No,2.56,0.21621621621621623,0.0
8d290a64-c2e0-46e2-84e2-88dbf9b45676,29.0,55.54,1.0,7.0,0.232,0.1448,0.0,No,4.9,0.607,4.35,6.32,8.87,4.3,No,27.77,0.23333333333333334,0.0
2491994c-e4f5-4e20-938d-8e3f2d238ad4,53.0,92.51,1.0,9.0,0.15,0.0816,0.0,No,0.0,0.561,2.85,4.58,7.58,3.5,No,46.255,0.16666666666666666,0.0
69ab8a54-f6ad-4f93-8aa2-ed57111981f6,39.0,57.0,10.0,5.0,0.2884,0.0152,1.0,No,7.3,0.427,5.0,7.52,9.28,4.5,No,5.181818181818182,0.125,0.427
45682f98-5a30-408c-8e33-81638e9d5962,34.0,70.37,26.0,10.0,0.2854,0.0208,1.0,No,4.0,0.806,3.94,5.1,8.2,4.2,No,2.6062962962962963,0.2857142857142857,0.806
9db4df33-a9e5-4c35-92a5-e18cf7280d77,22.0,46.9,1.0,15.0,0.256,0.0432,0.0,No,1.9,0.637,2.91,4.92,7.77,4.5,No,23.45,0.6521739130434783,0.0
7c5260b3-79ee-4eaa-9e03-4e55d30acbc2,55.0,27.63,28.0,24.0,0.309,0.02,0.0,Yes,3.8,0.891,4.33,6.0,9.26,5.0,No,0.9527586206896551,0.42857142857142855,0.0
699dc04e-c1d2-4444-b49a-411ffcb703c0,31.0,185.52249999999998,1.0,25.0,0.2318,0.028,1.0,No,5.7,0.587,5.0,5.68,9.24,3.4,No,92.76124999999999,0.78125,0.587
6d62661f-2fd2-48b5-8ef0-35fa0b64d75a,28.0,46.14,22.0,45.0,0.385,0.3016,1.0,No,7.6,0.999,3.8,6.02,7.13,5.4,No,2.006086956521739,1.5517241379310345,0.999
72f96501-0c76-4498-864f-5e71196c291b,35.0,131.91,18.0,27.0,0.034,0.0128,1.0,No,4.1,0.27,3.11,5.62,7.4,2.4,No,6.942631578947368,0.75,0.27
a3b7cf40-7d11-4790-8d99-6cf2796f19f0,34.0,26.17,1.0,5.0,0.3266,0.1504,2.0,No,0.3,0.678,3.18,5.1,6.35,4.2,No,13.085,0.14285714285714285,1.356
8bb79204-f5ff-4c45-9f28-3b5e44e4e68a,13.0,28.19,7.0,21.0,0.415,0.024,0.0,No,3.7,0.224,5.0,5.42,9.92,5.7,No,3.52375,1.5,0.0
ceb32aa3-622f-41ff-b50d-095982dff2e2,41.0,54.45,21.0,22.0,0.194,0.0376,0.0,No,0.0,0.715,3.98,4.6,8.85,4.0,No,2.475,0.5238095238095238,0.0
8692fff2-6ffb-4f50-a595-6e6c3424abf2,4.0,53.79,2.0,35.0,0.255,0.2704,1.0,No,0.3,0.737,3.46,3.42,6.89,4.5,No,17.93,7.0,0.737
c85706ca-da9a-4454-bb37-37e57551d239,43.0,78.45,22.0,89.0,0.399,0.0576,1.0,Yes,0.7,0.54,4.43,1.0,8.57,5.3,Yes,3.4108695652173915,2.022727272727273,0.54
64538ef7-3b3b-4638-b03c-8270db704d32,6.0,31.99,1.0,33.0,0.171,0.044,1.0,No,0.3,0.414,2.94,3.48,7.13,4.0,Yes,15.995,4.714285714285714,0.414
76d70e62-95b1-418c-8d1e-0312e1f317f0,1.0,67.75,1.0,13.0,0.221,0.1752,2.0,No,0.6,0.285,3.43,4.58,6.51,4.1,No,33.875,6.5,0.57
f9da6bab-bd1c-47cd-ae60-6a030d14b99b,12.0,108.72,10.0,33.0,0.319,0.1528,2.0,No,7.4,0.631,3.03,6.15,6.19,4.6,No,9.883636363636363,2.5384615384615383,1.262
6459d22e-c35e-447d-af62-0044d41cd322,35.0,180.54,27.0,46.0,0.25,0.0152,0.0,Yes,1.1,0.877,4.14,3.97,9.09,3.7,No,6.447857142857143,1.2777777777777777,0.0
b8346df1-be02-4118-905d-931fd1e5e174,59.0,69.19,1.0,11.0,0.182,0.0272,2.0,No,5.1,0.668,4.24,6.18,7.82,3.9,No,34.595,0.18333333333333332,1.336
ab9a5c89-8f75-47d3-a30a-39c42431a7c1,11.0,68.17,9.0,15.0,0.267,0.0712,3.0,No,5.2,0.771,3.18,6.28,5.94,4.5,No,6.817,1.25,2.313
8a6e016e-8b86-4a0a-8bab-7575be08f75a,23.0,45.74,18.0,20.0,0.3944,0.2376,3.0,Yes,5.5,0.706,2.38,6.43,4.59,3.8,No,2.407368421052632,0.8333333333333334,2.118
dc4105da-5658-43ff-9853-13539c2e8df4,14.0,44.14,1.0,51.0,0.396,0.092,2.0,Yes,6.3,0.737,3.68,4.58,7.04,5.5,No,22.07,3.4,1.474
2c94d11a-b1aa-4595-892c-d4a8f2c6ab3b,19.0,122.82,5.0,6.0,0.23279999999999998,0.0048,1.0,No,2.3,0.596,5.0,5.1,9.32,3.7,No,20.47,0.3,0.596
e5a9b6e3-1d31-45fd-bae5-60baa7e7a1cf,37.0,53.95,10.0,10.0,0.408,0.0896,1.0,No,3.1,0.564,3.09,5.87,7.12,5.5,No,4.904545454545455,0.2631578947368421,0.564
ea3d4ee1-c783-44b3-8c99-acc2d250c9d8,16.0,58.22,5.0,39.0,0.26980000000000004,0.0056,0.0,No,1.3,0.54,4.96,5.1,9.94,3.7,No,9.703333333333333,2.2941176470588234,0.0
e27d7b20-25b3-4ff0-b88b-a7ccb7b78f96,44.0,96.81,12.0,21.0,0.193,0.0016,0.0,No,9.0,0.68,4.18,7.35,9.17,3.8,No,7.446923076923077,0.4666666666666667,0.0
7b363fbf-9486-4e0d-9e01-2f4b52b1cc89,28.0,185.52249999999998,1.0,51.0,0.317,0.0672,3.0,No,0.0,0.455,4.17,2.48,6.95,4.1,Yes,92.76124999999999,1.7586206896551724,1.365
8c1ff1d4-75a8-4a2e-9288-13f9ab4979d5,45.0,166.89,1.0,11.0,0.424,0.044,0.0,Yes,0.1,0.653,3.76,4.52,8.61,5.0,No,83.445,0.2391304347826087,0.0
e44f7319-90da-4768-a764-9e66f6c0be73,31.0,92.74,24.0,17.0,0.3064,0.0392,1.0,No,2.9,0.376,4.93,5.92,9.13,6.4,No,3.7096,0.53125,0.376
9253f6fc-8ef6-44ad-b34a-3c8a6811d05f,53.0,54.75,14.0,12.0,0.336,0.0312,0.0,Yes,0.0,0.347,3.86,4.87,8.76,5.0,No,3.65,0.2222222222222222,0.0
ce296bf5-2912-40d6-b386-85f97849a5c2,7.0,137.94,1.0,5.0,0.3082,0.1848,1.0,No,3.2,0.9,5.0,5.85,8.72,5.4,No,68.97,0.625,0.9
27198475-c259-4626-8b01-616af90d4666,46.0,33.27,1.0,1.0,0.339,0.1112,3.0,No,3.8,0.633,2.19,6.25,4.82,5.2,No,16.635,0.02127659574468085,1.899
b0b8e332-e904-4d07-a612-e0c432c7ce81,52.0,44.42,27.0,47.0,0.22800000000000004,0.0728,1.0,No,5.0,0.611,4.53,5.22,8.62,3.2,No,1.5864285714285715,0.8867924528301887,0.611
7bb27d94-e332-4802-8f6c-baef0be95257,27.0,51.38,1.0,40.0,0.313,0.1,0.0,No,5.1,0.476,3.36,4.73,8.03,4.9,No,25.69,1.4285714285714286,0.0
ce331f32-0557-4b56-b791-2e437191a8bd,17.0,103.54,9.0,8.0,0.6,0.0016,1.0,No,0.5,0.666,4.23,5.07,8.56,6.6,No,10.354000000000001,0.4444444444444444,0.666
5753b50a-b697-4d53-a78d-98687e9d18c0,7.0,137.76,2.0,89.0,0.136,0.0704,3.0,No,0.0,0.355,3.32,1.0,6.09,3.1,Yes,45.919999999999995,11.125,1.065
b95a8097-0147-453f-82b4-c96ef664ffc5,15.0,19.32,1.0,11.0,0.309,0.0752,0.0,No,3.5,0.587,3.88,5.65,8.63,5.0,No,9.66,0.6875,0.0
a82e2092-f32b-400a-bd68-5ebb82a9a508,53.0,49.37,27.0,50.0,0.033,0.1376,1.0,No,4.7,0.925,2.97,4.97,6.84,2.9,No,1.7632142857142856,0.9259259259259259,0.925
e616cc54-be72-446a-9467-0660d655eeac,55.0,23.35,28.0,4.0,0.068,0.0136,1.0,No,3.3,0.663,2.57,6.83,6.86,3.3,No,0.8051724137931034,0.07142857142857142,0.663
45361d48-4110-4646-966e-6f8739c4f424,8.0,26.65,7.0,89.0,0.196,0.0048,0.0,No,4.2,0.776,4.35,1.63,9.33,4.2,Yes,3.33125,9.88888888888889,0.0
b02e6e78-fb3b-48c9-a1f0-51b7fbb24110,2.0,75.57,1.0,1.0,0.125,0.004,1.0,No,3.8,0.564,3.7,6.25,8.02,3.4,No,37.785,0.3333333333333333,0.564
ba12e902-65cf-45cc-90e1-2bb1932104a1,59.0,62.68,15.0,61.0,0.491,0.0688,1.0,No,1.5,0.396,2.71,2.95,6.81,6.1,Yes,3.9175,1.0166666666666666,0.396
246e2643-42a0-4a41-953e-d14f4fe5f2cf,38.0,58.91,1.0,43.0,0.179,0.0567999999999999,1.0,No,2.5,0.946,3.64,3.72,7.78,3.9,No,29.455,1.1025641025641026,0.946
4b07e105-9f6e-4fb2-80bf-dd2722225a09,56.0,42.62,1.0,16.0,0.33,0.0224,0.0,No,2.7,0.867,4.96,5.13,9.89,5.1,No,21.31,0.2807017543859649,0.0
73cf0cea-5b2e-4956-9025-5e29fbffa2de,26.0,42.21,20.0,8.0,0.4006,0.0312,1.0,Yes,3.8,0.574,4.44,5.1,8.67,4.5,No,2.0100000000000002,0.2962962962962963,0.574
94b9467c-5e4c-4c11-b243-8365d393b010,51.0,34.73,1.0,32.0,0.45,0.0736,1.0,No,2.7,0.535,4.61,4.33,8.7,5.9,No,17.365,0.6153846153846154,0.535
31124630-b9bb-48f5-b9ad-e7c0787db08a,21.0,34.77,1.0,43.0,0.1406,0.0624,2.0,No,1.6,0.761,4.0,3.42,7.46,4.4,Yes,17.385,1.9545454545454546,1.522
91667819-9dcf-4f49-9359-8844584079c7,57.0,112.04,15.0,54.0,0.297,0.036,0.0,No,1.1,0.748,3.72,3.17,8.6,4.4,Yes,7.0025,0.9310344827586207,0.0
a9efc644-e479-4794-aa52-bcfd2abd4e67,50.0,56.49,13.0,3.0,0.075,0.004,0.0,Yes,2.7,0.827,4.84,6.18,9.83,3.2,No,4.035,0.058823529411764705,0.0
f30603e6-c94e-41e5-88a8-73683281f75b,19.0,53.44,15.0,31.0,0.412,0.148,2.0,No,4.2,0.313,3.4,5.35,6.57,5.6,No,3.34,1.55,0.626
524fd972-8d54-45a3-b35f-6f627d23c209,18.0,43.51,1.0,7.0,0.47380000000000005,0.0192,0.0,Yes,3.3,0.721,4.75,5.78,9.69,5.9,No,21.755,0.3684210526315789,0.0
b65ac0b5-fb2b-4573-9d7e-20b8c3a24ad7,2.0,79.69,1.0,29.0,0.313,0.0744,1.0,No,2.9,0.812,4.19,4.55,8.28,4.7,No,39.845,9.666666666666666,0.812
8d859239-4012-4b9e-bbb6-ec9046015a29,52.0,94.23,31.0,6.0,0.119,0.1048,0.0,Yes,2.3,0.615,3.41,6.8,8.06,3.3,No,2.9446875,0.11320754716981132,0.0
6e1749b7-7f22-4e78-b089-fdcfe94a9319,45.0,13.06,12.0,69.0,0.248,0.224,2.0,Yes,2.2,0.632,4.0,2.68,6.92,4.7,Yes,1.0046153846153847,1.5,1.264
7722df96-e734-4cf4-a4e0-a185fa4dfee1,54.0,49.11,28.0,30.0,0.537,0.0464,2.0,No,5.1,0.521,3.8,6.13,7.31,6.5,No,1.693448275862069,0.5454545454545454,1.042
6c853ba2-e383-4117-8540-5713aee8b0f5,42.0,56.52,1.0,32.0,0.22719999999999999,0.1192,3.0,No,0.0,0.674,3.21,3.43,5.81,3.7,Yes,28.26,0.7441860465116279,2.0220000000000002
4d632358-7e74-4ba9-81e2-db392246c14f,49.0,70.11,13.0,10.0,0.3664,0.124,1.0,No,0.5,0.544,3.91,5.1,7.83,7.4,No,5.007857142857143,0.2,0.544
114358d7-796f-47e3-a64e-91573ce7c906,57.0,75.37,1.0,16.0,0.23279999999999998,0.1824,1.0,No,2.6,0.927,3.15,5.1,6.88,4.1,No,37.685,0.27586206896551724,0.927
429f5d47-0582-448f-83f9-0b97360e1b3b,28.0,140.37,8.0,47.0,0.176,0.064,0.0,No,6.7,0.657,3.71,5.15,8.5,3.4,No,15.596666666666668,1.6206896551724137,0.0
451ee749-0a8b-4c59-bc18-a977391906e2,50.0,185.52249999999998,1.0,15.0,0.337,0.0944,1.0,No,3.7,0.492,5.0,5.52,9.02,4.1,No,92.76124999999999,0.29411764705882354,0.492
218bc9f9-ddc4-4490-b9ef-0bfeef2bc605,23.0,155.21,6.0,22.0,0.252,0.0248,1.0,No,6.9,0.353,2.87,6.4,7.12,3.8,No,22.172857142857143,0.9166666666666666,0.353
10cf32b9-a07b-4098-b460-d4cef8dae17f,4.0,50.81,2.0,33.0,0.35439999999999994,0.0776,0.0,No,5.7,0.244,4.66,5.32,9.4,4.5,No,16.936666666666667,6.6,0.0
8bc7479a-c25c-4481-8449-ba438af29e62,4.0,60.81,1.0,18.0,0.24059999999999998,0.0096,1.0,No,2.9,0.791,4.27,5.1,8.57,3.2,No,30.405,3.6,0.791
fbc9619d-a5fb-4815-ae39-e2848790fdc9,12.0,95.42,1.0,9.0,0.191,0.084,0.0,No,3.0,0.537,3.46,5.58,8.18,3.8,No,47.71,0.6923076923076923,0.0
1b360fda-e118-4bca-8161-608beb43cdf0,22.0,41.21,6.0,30.0,0.313,0.0072,1.0,No,2.5,0.503,3.59,4.53,7.9,7.9,No,5.887142857142857,1.3043478260869565,0.503
a0e88d9b-b92e-4f45-9cee-8435b2a26a7e,26.0,185.52249999999998,1.0,46.0,0.3452,0.0992,1.0,No,5.4,0.628,4.6,4.53,8.6,3.0,No,92.76124999999999,1.7037037037037037,0.628
5a217825-b986-4b00-8e00-9146c164cfaa,40.0,46.37,21.0,1.0,0.147,0.0952,2.0,No,3.9,0.971,3.01,6.95,6.36,3.8,No,2.1077272727272724,0.024390243902439025,1.942
dc81e146-0b41-4c82-86e3-599111135ea1,42.0,50.5,1.0,89.0,0.295,0.0567999999999999,1.0,No,4.6,0.625,4.14,1.57,8.28,4.8,Yes,25.25,2.0697674418604652,0.625
11b3cb6a-572e-43c1-867e-28fd976b67c9,35.0,185.52249999999998,9.0,26.0,0.2812,0.0888,1.0,Yes,2.0,0.837,4.49,4.67,8.53,4.3,No,18.552249999999997,0.7222222222222222,0.837
35c454e1-e082-493a-ba31-71ba2579fed5,4.0,121.05,3.0,24.0,0.201,0.0592,2.0,Yes,3.0,0.926,3.68,4.9,7.15,3.7,No,30.2625,4.8,1.852
9745cd43-d9c0-4786-8dca-a4e29169b8ba,12.0,54.42,4.0,12.0,0.063,0.036,2.0,No,4.3,0.731,3.44,5.97,6.99,3.1,No,10.884,0.9230769230769231,1.462
0399fc6d-d289-4717-83e5-36e5c44b41bf,4.0,52.08,2.0,45.0,0.315,0.0056,1.0,No,3.0,0.603,3.52,3.82,7.83,4.9,No,17.36,9.0,0.603
b829e273-dca6-441f-b3ed-4093bef603de,52.0,167.23,1.0,47.0,0.292,0.0312,2.0,No,5.1,0.844,3.85,4.38,7.41,4.0,No,83.615,0.8867924528301887,1.688
e559263f-bf94-4d18-b70b-d4a5690ad0e4,57.0,131.56,1.0,28.0,0.292,0.0312,0.0,No,0.7,0.569,4.28,3.87,9.18,4.3,No,65.78,0.4827586206896552,0.0
b830ba1b-a5ff-4248-b9b1-1b29dd38f3ae,31.0,64.5,8.0,0.0,0.113,0.0032,0.0,No,0.0,0.548,4.69,5.27,9.68,3.4,No,7.166666666666667,0.0,0.0
6bc0327d-5891-495a-89af-b3bd43adf59a,7.0,89.03,1.0,16.0,0.414,0.1872,0.0,No,3.6,0.765,5.0,5.43,9.38,5.4,No,44.515,2.0,0.0
6e3afefb-55a1-4164-92ed-2d05ad700bd7,10.0,185.52249999999998,3.0,68.0,0.1992,0.2728,3.0,No,3.1,0.83,3.73,5.1,5.82,2.4,Yes,46.380624999999995,6.181818181818182,2.4899999999999998
13a5c029-bc6e-4d41-8fb9-9ba3f2203d99,24.0,35.3,13.0,26.0,0.043,0.0368,0.0,No,4.7,0.344,4.97,5.7,9.85,3.1,No,2.5214285714285714,1.04,0.0
a172aa48-0dc6-4e1c-b436-b4f88d038e38,15.0,74.17,4.0,47.0,0.269,0.0296,0.0,No,3.2,0.713,4.16,3.85,9.06,4.4,No,14.834,2.9375,0.0
b5afbae6-7370-458f-be6d-43b4c345a45c,39.0,110.51,10.0,50.0,0.25220000000000004,0.052,0.0,No,5.1,0.182,3.74,5.1,8.57,4.7,No,10.046363636363637,1.25,0.0
28204d17-88d5-4d58-b7e9-2bb9e8465947,20.0,43.64,1.0,17.0,0.089,0.0072,1.0,No,6.4,0.473,3.03,6.32,7.34,3.4,No,21.82,0.8095238095238095,0.473
dc3f7024-062e-427b-9e52-25209ba53bc4,58.0,87.66,1.0,10.0,0.421,0.0112,4.0,No,1.5,0.532,3.51,5.03,5.81,5.4,No,43.83,0.1694915254237288,2.128
46b8c02f-a6c4-4777-b00f-fdd7ffa6e6c2,7.0,67.17,1.0,59.0,0.06,0.0408,1.0,Yes,4.0,0.355,3.93,3.42,8.13,3.0,No,33.585,7.375,0.355
c37afc10-f85f-433a-ac03-ebe098fb89ed,13.0,84.32,4.0,10.0,0.115,0.108,1.0,No,3.8,0.298,4.06,5.9,8.03,3.3,No,16.863999999999997,0.7142857142857143,0.298
f27ce8bf-203c-44e3-90e8-31c284da06d5,55.0,24.85,1.0,1.0,0.119,0.0424,1.0,No,2.8,0.794,2.38,5.92,6.57,3.7,No,12.425,0.017857142857142856,0.794
ee84439d-9bef-4084-9aac-2f8775b0c3ac,28.0,151.35,1.0,34.0,0.556,0.0192,0.0,No,4.3,0.597,4.84,4.77,9.78,6.0,No,75.675,1.1724137931034482,0.0
4331537a-2e76-41d2-8f1b-38394a442b64,39.0,169.91,10.0,13.0,0.416,0.0248,0.0,Yes,1.6,0.514,5.0,5.22,9.92,4.9,No,15.446363636363635,0.325,0.0
f736d70c-4537-42bf-bb67-c7a62bf9db9f,18.0,100.68,14.0,23.0,0.2076,0.1104,1.0,Yes,5.3,0.303,4.41,5.1,8.38,3.4,No,6.712000000000001,1.2105263157894737,0.303
4f299fd1-c8cf-47bb-bdf1-7345fe34f93d,47.0,56.4,12.0,36.0,0.268,0.0672,0.0,Yes,3.4,0.843,5.0,4.73,9.78,4.5,No,4.338461538461538,0.75,0.0
9d410f1d-81cb-4d6c-932c-83acd79f95ed,11.0,22.4,3.0,31.0,0.436,0.02,2.0,No,7.7,0.749,3.28,6.12,6.88,5.9,No,5.6,2.5833333333333335,1.498
3458aaeb-c92b-49eb-a3c7-ba3db08d1781,36.0,151.31,28.0,82.0,0.3632000000000001,0.1952,1.0,No,3.7,0.885,4.35,5.1,8.03,6.5,Yes,5.217586206896552,2.2162162162162162,0.885
c1db5e7f-9644-4da5-bfaf-ee9a41f0babb,53.0,74.11,1.0,82.0,0.344,0.22,0.0,No,3.5,0.747,2.89,2.1,7.16,5.0,Yes,37.055,1.5185185185185186,0.0
895daad7-b9b9-4b65-bdf8-fd2258fd5714,36.0,28.23,10.0,89.0,0.126,0.0024,0.0,No,3.5,0.618,4.49,1.5,9.48,3.7,Yes,2.5663636363636364,2.4054054054054053,0.0
